1,1,tomar una diaria durante 5 días
2,1,aumentar iterativamente en dosis de 5 mg
3,1,tomar una en lanoche y una en la mañana
4,1,tomar antes y después de cada comida
1,2,tomar una diaria durante 5 días
5,2,tomar una cada 12 hrs
4,2,tomar antes y después de cada comida
3,2,tomar una en lanoche y una en la mañana
4,3,tomar antes y después de cada comida
1,3,tomar una diaria durante 5 días
2,3,aumentar iterativamente en dosis de 5 mg
3,3,tomar una en lanoche y una en la mañana
4,4,tomar antes y después de cada comida
1,4,tomar una diaria durante 5 días
5,4,tomar una cada 12 hrs
3,4,tomar una en la noche y una en la mañana